NUMERO_ADITIVO;CODIGO_AQUISICAO;CODIGO_SOLICITACAO_AQUISICAO;NUMERO_PROCESSO_AQUISICAO;OBJETO_AQUISICAO;TIPO_AQUISICAO;CNPJ_CONTRATANTE;CPF_CONTRATANTE;NOME_CONTRATADO;RAZAO_SOCIAL_CONTRATADO;ANO_CONTRATO;NUMERO_CONTRATO;FIM_VIGENCIA;INICIO_VIGENCIA;NOME_ORGAO;SIGLA_ORGAO;VALOR_AQUISICAO;VALOR_ADITIVO;VALOR_MENSAL_ADITIVO;VALOR_MENSAL_CONTRATO;ANOMES_INICIO_VIGENCIA
0;149016;0.0;202000036011751;"Aquisição de 7 (sete) Smart TVs de LED (ou superior) de 50 (cinquenta) polegadas, que serão destinados à Agência Goiana de Infraestrutura e Transportes - GOINFRA, conforme especificações técnicas contidas neste Termo de Referência";CONTRATO;01390674000102;-1000000000;"Não se aplica";"WF LICITAÇÕES LTDA EPP";2020;47887;2021-06-03T00:00:00.000-03:00;2021-05-03T00:00:00.000-03:00;"AGÊNCIA GOIANA DE INFRAESTRUTURA E TRANSPORTES";GOINFRA;17276.0;0.0;0.0;0.0;202105
0;149076;0.0;202117647000290;"Aquisição de objetos de mobília em aço, a serem utilizados nas atividades do Banco de Alimentos do Estado de Goiás, implantado por esta Secretaria de Estado de Agricultura, Pecuária e Abastecimento - SEAPA";CONTRATO;17344993000111;-1000000000;"Não se aplica";"KM INDUSTRIA E COMERCIO DE MOVEIS - EIRELI - ME";2021;19;2021-11-06T00:00:00.000-02:00;2021-05-07T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO";SEAPA;47638.0;0.0;0.0;0.0;202105
0;149234;0.0;202000006041785;"Prestação de serviços técnicos especializados para provimento patrocinado de acesso de dados à internet em serviço móvel pessoal para os alunos da rede pública estadual e de ensino do Estado de Goiás e servidores da Secretaria de Estado da Educação.";CONTRATO;71208516000174;-1000000000;"Não se aplica";"ALGAR TELECOM S.A.";2021;016;2022-05-11T00:00:00.000-03:00;2021-05-12T00:00:00.000-03:00;"SECRETARIA DE ESTADO DA EDUCAÇÃO";SEDUC;362243.64;0.0;0.0;0.0;202105
0;149116;0.0;202014304001051;"Fornecimento de materiais para confecção e manutenção de rede lógica, visando atender as demandas da Secretaria de Estado de Desenvolvimento e Inovação.";CONTRATO;17837526000123;-1000000000;"Não se aplica";"F L MAIA LTDA ME";2021;3101.008.00041;2021-06-09T00:00:00.000-03:00;2021-05-10T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INOVAÇÃO";SEDI;2637.5;0.0;0.0;0.0;202105
0;149135;0.0;202112404000092;"serviço de gerenciamento de abastecimento de combustíveis";CONTRATO;00604122000197;-1000000000;"Não se aplica";"TRIVALE ADMINISTRACAO LTDA";2021;13;2022-05-06T00:00:00.000-03:00;2021-05-06T00:00:00.000-03:00;"AGÊNCIA GOIANA DE ASSISTÊNCIA TÉCNICA, EXTENSÃO RURAL E PESQUISA AGROPECUÁRIA";EMATER;1756221.21;0.0;0.0;146351.76;202105
0;150013;0.0;202100011000531;"AQUISIÇÃO DE VIATURAS TIPO UR (UNIDADE DE RESGATE)";CONTRATO;61591459000100;-1000000000;"Não se aplica";"DE NIGRIS DISTRIB DE VEICULOS LT";2021;028;2022-05-13T00:00:00.000-03:00;2021-05-14T00:00:00.000-03:00;"SECRETARIA DE ESTADO DA SEGURANÇA PÚBLICA";SSP;246000.0;0.0;0.0;0.0;202105
0;149273;0.0;202114304000798;"Cota única da anuidade do CONSETRANS referente ao exercício de 2021.";"TERMO DE PARCERIA";00000000000000;-1000000000;"Não se aplica";"Não se aplica";2021;00;2021-05-17T00:00:00.000-03:00;2021-05-17T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INOVAÇÃO";SEDI;20000.0;0.0;0.0;0.0;202105
0;149573;0.0;202000066008060;"Serviço de assistência técnica e garantida e estabilizadores";CONTRATO;14238297000132;-1000000000;"Não se aplica";"DI BENTO COMÉRCIO E SERVIÇOS LTDA - ME";2021;05;2022-05-10T00:00:00.000-03:00;2021-05-10T00:00:00.000-03:00;"AGENCIA GOIANA DE DEFESA AGROPECUÁRIA - AGRODEFESA";AGRODEFESA;10917.5;0.0;0.0;0.0;202105
0;149175;0.0;202114304000602;"Prestação de serviços de manutenção predial preventiva, corretiva e preditiva, com fornecimento de peças, materiais de consumo, insumos e mão de obra, bem como para a realização de serviços eventuais diversos, nos sistemas, equipamentos e instalações prediais utilizados pela Secretaria de Estado de Desenvolvimento e Inovação - SEDI.";CONTRATO;07945776000123;-1000000000;"Não se aplica";"PRIMECON CONSTRUTORA LTDA EPP";2021;6;2022-05-10T00:00:00.000-03:00;2021-05-11T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INOVAÇÃO";SEDI;9096000.0;0.0;0.0;758000.0;202105
0;149373;0.0;202000036003051;"PRESTAÇÃO DE SERVIÇOS TÉCNICOS NA ÁREA DE TECNOLOGIA DA INFORMAÇÃO PARA SUPRIR AS DEMANDAS DE INFRAESTRUTURA E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA AGÊNCIA GOIANA DE INFRAESTRUTURA E TRANSPORTES - GOINFRA.";CONTRATO;85200665000100;-1000000000;"Não se aplica";"POLIGRAPH SISTEMAS E REPRESENTACOES LTDA";2021;54;2022-05-10T00:00:00.000-03:00;2021-05-11T00:00:00.000-03:00;"AGÊNCIA GOIANA DE INFRAESTRUTURA E TRANSPORTES";GOINFRA;2196722.3;0.0;0.0;183060.19;202105
